Estado,Nombre del tecnológico,Clave oficial,Modalidad,Grado que otorga,Carrera,URL del tecnológico,URL de la carrera
Baja California,🏫 Instituto Tecnológico de Tijuana,IIND-2010-227,Mixta,Licenciatura,Ingeniería Industrial,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/educacion-a-distancia/
Baja California,🏫 Instituto Tecnológico de Tijuana,IIND-2010-227,Escolarizada,Licenciatura,Ingeniería Industrial,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-industrial/
Baja California,🏫 Instituto Tecnológico de Tijuana,IINF-2010-220,Escolarizada,Licenciatura,Ingeniería Informática,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-en-informatica/
Baja California,🏫 Instituto Tecnológico de Tijuana,IMEC-2010-228,Escolarizada,Licenciatura,Ingeniería Mecánica,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/mecanica/
Baja California,🏫 Instituto Tecnológico de Tijuana,IQUI-2010-232,Escolarizada,Licenciatura,Ingeniería Química,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/ing-quimica/
Baja California,🏫 Instituto Tecnológico de Tijuana,LADM-2010-234,Escolarizada,Licenciatura,Licenciatura en Administración,https://www.tijuana.tecnm.mx,https://www.tijuana.tecnm.mx/lic-en-administracion/
Baja California Sur,🏫 Instituto Tecnológico de Estudios Superiores de Los Cabos,ARQU-2010-204,Escolarizada,Licenciatura,Arquitectura,https://www.itesloscabos.edu.mx,https://www.itesloscabos.edu.mx/inicio/services-copy-copy/
Baja California Sur,🏫 Instituto Tecnológico de Estudios Superiores de Los Cabos,COPU-2010-205,Escolarizada,Licenciatura,Contador Público,https://www.itesloscabos.edu.mx,https://www.itesloscabos.edu.mx/inicio/contador-publico/
Baja California Sur,🏫 Instituto Tecnológico de Estudios Superiores de Los Cabos,GAST-2010-215,Escolarizada,Licenciatura,Gastronomía,https://www.itesloscabos.edu.mx,https://www.itesloscabos.edu.mx/inicio/gastronomia/
Baja California Sur,🏫 Instituto Tecnológico de Estudios Superiores de Los Cabos,ICIV-2010-208,Escolarizada,Licenciatura,Ingeniería Civil,https://www.itesloscabos.edu.mx,https://www.itesloscabos.edu.mx/inicio/ing-civil/
Baja California Sur,🏫 Instituto Tecnológico de Estudios Superiores de Los Cabos,IEME-2010-210,Escolarizada,Licenciatura,Ingeniería Electromecánica,https://www.itesloscabos.edu.mx,https://www.itesloscabos.edu.mx/inicio/ing-electromecanica/
Baja California Sur,🏫 Instituto Tecnológico de Estudios Superiores de Los Cabos,IADM-2010-213,Mixta,Licenciatura,Ingeniería en Administración,https://www.itesloscabos.edu.mx,https://www.itesloscabos.edu.mx/inicio/ingenieria-en-administracion-en-linea/
Baja California Sur,🏫 Instituto Tecnológico de Estudios Superiores de Los Cabos,IADM-2010-213,Escolarizada,Licenciatura,Ingeniería en Administración,https://www.itesloscabos.edu.mx,https://www.itesloscabos.edu.mx/inicio/services-copy/
Baja California Sur,🏫 Instituto Tecnológico de Estudios Superiores de Los Cabos,ISIC-2010-224,No Escolarizada,Licenciatura,Ingeniería en Sistemas Computacionales,https://www.itesloscabos.edu.mx,https://itesloscabos.edu.mx
Baja California Sur,🏫 Instituto Tecnológico de Estudios Superiores de Los Cabos,ISIC-2010-224,Escolarizada,Licenciatura,Ingeniería en Sistemas Computacionales,https://www.itesloscabos.edu.mx,https://www.itesloscabos.edu.mx/inicio/ing-en-sistemas-computacionales/
Baja California Sur,🏫 Instituto Tecnológico de Estudios Superiores de Los Cabos,LTUR-2012-237,Escolarizada,Licenciatura,Licenciatura en Turismo,https://www.itesloscabos.edu.mx,https://www.itesloscabos.edu.mx/inicio/lic-en-turismo/
Baja California Sur,🏫 Instituto Tecnológico de La Paz,ARQU-2010-204,Escolarizada,Licenciatura,Arquitectura,https://lapaz.tecnm.mx,https://lapaz.tecnm.mx/arquitectura/
Baja California Sur,🏫 Instituto Tecnológico de La Paz,COPU-2010-205,Escolarizada,Licenciatura,Contador Público,https://lapaz.tecnm.mx,https://lapaz.tecnm.mx/contador-publico/
Baja California Sur,🏫 Instituto Tecnológico de La Paz,IBQA-2010-207,Escolarizada,Licenciatura,Ingeniería Bioquímica,https://lapaz.tecnm.mx,https://lapaz.tecnm.mx/bioquimica/
Baja California Sur,🏫 Instituto Tecnológico de La Paz,ICIV-2010-208,Escolarizada,Licenciatura,Ingeniería Civil,https://lapaz.tecnm.mx,https://lapaz.tecnm.mx/ingenieria-civil/
Baja California Sur,🏫 Instituto Tecnológico de La Paz,IEME-2010-210,Escolarizada,Licenciatura,Ingeniería Electromecánica,https://lapaz.tecnm.mx,https://lapaz.tecnm.mx/ingenieria-en-electromecanica/
Baja California Sur,🏫 Instituto Tecnológico de La Paz,ICBS-2024-249,Escolarizada,Licenciatura,Ingeniería en Ciberseguridad,https://lapaz.tecnm.mx,https://lapaz.tecnm.mx/ingenieria-en-ciber-seguridad/
Baja California Sur,🏫 Instituto Tecnológico de La Paz,IGEM-2009-201,Escolarizada,Licenciatura,Ingeniería en Gestión Empresarial,https://lapaz.tecnm.mx,https://lapaz.tecnm.mx/ing-gestion-empresarial/
Baja California Sur,🏫 Instituto Tecnológico de La Paz,IIAR-2024-248,Escolarizada,Licenciatura,Ingeniería en Inteligencia Artificial,https://lapaz.tecnm.mx,https://lapaz.tecnm.mx/ingenieria-en-inteligencia-artificial/
Baja California Sur,🏫 Instituto Tecnológico de La Paz,ISIC-2010-224,No Escolarizada,Licenciatura,Ingeniería en Sistemas Computacionales,https://lapaz.tecnm.mx,https://lapaz.tecnm.mx/tecnm-virtual/
Baja California Sur,🏫 Instituto Tecnológico de La Paz,ISIC-2010-224,Escolarizada,Licenciatura,Ingeniería en Sistemas Computacionales,https://lapaz.tecnm.mx,https://lapaz.tecnm.mx/ing-en-sistemas-computacionales/
Baja California Sur,🏫 Instituto Tecnológico de La Paz,IIND-2010-227,Escolarizada,Licenciatura,Ingeniería Industrial,https://lapaz.tecnm.mx,https://lapaz.tecnm.mx/ingenieria-industrial/
Baja California Sur,🏫 Instituto Tecnológico de La Paz,LADM-2010-234,Escolarizada,Licenciatura,Licenciatura en Administración,https://lapaz.tecnm.mx,https://lapaz.tecnm.mx/lic-en-administracion/
Baja California Sur,🏫 Instituto Tecnológico Superior de Ciudad Constitución,ARQU-2010-204,Escolarizada,Licenciatura,Arquitectura,https://cdconstitucion.tecnm.mx,https://cdconstitucion.tecnm.mx/somoshalcones/noticias.html?noti=https://cdconstitucion.tecnm.mx/somoshalcones/noticias/reticulas/ARQUI.jpg
Baja California Sur,🏫 Instituto Tecnológico Superior de Ciudad Constitución,GAST-2010-215,Escolarizada,Licenciatura,Gastronomía,https://cdconstitucion.tecnm.mx,https://cdconstitucion.tecnm.mx/somoshalcones/noticias.html?noti=https://cdconstitucion.tecnm.mx/somoshalcones/noticias/reticulas/GASTRO.jpg
